Vmag,Plx,e_Plx,B-V,SpType,Distance (parsecs),Distance (light years),Amag,Temperature (K),Luminosity (Sun=1),Radius (Sun=1),target
9.27,0.0219,3.1,0.999,K3V,45.662100456621005,148.9296803652968,5.972220574200591,4745.1404245925805,0.3557228558627059,0.8843268714126871,0.0
8.06,0.00775,0.97,0.37,F0V,129.03225806451613,420.8464516129032,2.5065085125315516,7044.130880250591,8.6575816280294,1.9796961539126734,0.0
8.55,0.00287,1.11,0.902,G8III,348.4320557491289,1136.4320557491287,0.8394094836699626,4991.060700472375,40.200939853900216,8.49742763646307,1.0
12.31,0.0188,4.99,1.336,M0V:,53.191489361702125,173.48723404255318,8.6807892463184,4058.1073480583973,0.02935514983640821,0.3473362918767953,0.0
9.05,0.00517,1.95,1.102,M6e-M8.5e Tc,193.42359767891682,630.8626692456479,2.617452715469713,4510.468346988966,7.816618457377738,4.587977221782744,0.0
8.59,0.01076,1.1,0.489,F6V,92.93680297397769,303.1189591078067,3.7490613566518514,6439.201919103254,2.7566108254971273,1.3368377969774627,0.0
8.43,0.004059999999999999,1.16,1.484,K4III,246.30541871921187,803.3399014778327,1.4726301678859706,3817.732081562202,22.436129230281384,10.849710407838863,1.0
8.8,0.00349,1.48,1.128,K0III,286.5329512893983,934.5444126074498,1.5141271347959009,4455.034400111444,21.594798005725558,7.816773435357662,1.0
8.15,0.00615,1.0,0.425,F3V,162.60162601626016,530.3349593495934,2.0943755788770844,6749.854896000522,12.654639231215226,2.6067002028570965,0.0
7.57,0.01221,0.95,0.456,F2V,81.9000819000819,267.1220311220311,3.0035783197244132,6595.421995871784,5.477327034597194,1.7961981074859776,0.0
9.05,0.00973,1.21,0.528,G0V,102.7749229188078,335.20657759506673,3.99056420134176,6264.565874307395,2.2068576444304946,1.2637473968392876,0.0
9.13,0.00919,1.34,0.535,F7V,108.8139281828074,354.9031556039173,3.946577556930558,6234.295462976162,2.2981002883069124,1.3021613526111637,0.0
9.32,0.00966,1.38,0.671,G5V,103.51966873706004,337.63561076604555,4.244885632077468,5702.764173000684,1.7460060618371638,1.3564604121387132,0.0
8.83,0.00564,1.05,0.468,F3/F5V,177.3049645390071,578.2907801418439,2.586395519916711,6537.6738922951345,8.043439360776766,2.2152842704382434,0.0
9.14,0.00285,1.4,1.041,G8III,350.8771929824561,1144.4070175438594,1.4142243000425516,4646.406583192409,23.676106234658757,7.524467920665198,1.0
10.44,0.0037400000000000003,2.72,0.391,F0V,267.379679144385,872.0748663101604,3.3043580110024013,6928.532308056115,4.151994749072833,1.4171015724281024,0.0
8.65,0.02384,0.78,0.778,G6V,41.946308724832214,136.81040268456374,5.536531255340995,5347.895072184639,0.5313583355623784,0.8509089049333006,0.0
7.46,0.01098,1.18,0.475,F3V,91.07468123861567,297.0455373406193,2.663011700570366,6504.489755441917,7.495408722286096,2.1603606931537542,0.0
8.57,0.0011899999999999999,1.2,1.035,K1III,840.3361344537816,2740.8067226890757,-1.0522651930373463,4660.245577327604,229.5652124747082,23.29112722545985,1.0
10.78,0.02445,1.97,1.15,K3V,40.899795501022496,133.39713701431492,7.721394317298195,4409.234032365268,0.07103007497397766,0.4576673278181517,0.0
7.31,0.00186,0.87,1.164,K0/K1III,537.6344086021505,1753.5268817204299,-1.3424352789104175,4380.599327414104,299.898374325937,30.12833048012546,1.0
8.56,0.00395,0.77,0.196,A4V,253.1645569620253,825.7113924050632,1.5429854781323016,8194.093023103896,21.028379625900904,2.280112101006084,0.0
10.57,0.02097,1.71,1.03,M:,47.68717215069147,155.53457319980924,7.17799215232672,4671.844617825824,0.11716641426388949,0.5235761610972743,0.0
