Vmag,Plx,e_Plx,B-V,SpType,Amag,target
9.27,21.9,3.1,0.999,K3V,20.97222057420059,0.0
8.06,7.75,0.97,0.37,F0V,17.506508512531553,0.0
8.55,2.87,1.11,0.902,G8III,15.839409483669963,1.0
12.31,18.8,4.99,1.336,M0V:,23.680789246318398,0.0
8.59,10.76,1.1,0.489,F6V,18.74906135665185,0.0
8.43,4.06,1.16,1.484,K4III,16.47263016788597,1.0
8.8,3.49,1.48,1.128,K0III,16.5141271347959,1.0
8.15,6.15,1.0,0.425,F3V,17.094375578877084,0.0
8.69,4.47,1.15,0.962,G8/K0III/IV,16.941537615659684,1.0
7.57,12.21,0.95,0.456,F2V,18.00357831972441,0.0
9.05,9.73,1.21,0.528,G0V,18.990564201341762,0.0
6.28,13.74,0.98,0.763,G3IV,16.969933663617656,0.0
9.13,9.19,1.34,0.535,F7V,18.946577556930556,0.0
9.32,9.66,1.38,0.671,G5V,19.24488563207747,0.0
8.83,5.64,1.05,0.468,F3/F5V,17.586395519916714,0.0
9.14,2.85,1.4,1.041,G8III,16.41422430004255,1.0
6.43,12.71,0.74,0.514,F7.5IV-V,16.950727752770042,0.0
9.07,5.96,1.45,0.916,G8/K0III/IV,17.946231298701182,1.0
10.44,3.74,2.72,0.391,F0V,18.3043580110024,0.0
8.65,23.84,0.78,0.778,G6V,20.536531255340996,0.0
7.46,10.98,1.18,0.475,F3V,17.663011700570365,0.0
6.18,7.63,0.6,1.032,G9III-IV,15.592622689774402,1.0
8.57,1.19,1.2,1.035,K1III,13.947734806962654,1.0
10.78,24.45,1.97,1.15,K3V,22.721394317298195,0.0
7.31,1.86,0.87,1.164,K0/K1III,13.657564721089582,1.0
6.49,16.89,0.8,0.616,G1IV,17.628148247855044,0.0
8.56,3.95,0.77,0.196,A4V,16.5429854781323,0.0
7.4,14.66,0.98,0.551,G2IV/V,18.230669851525548,0.0
8.27,33.89,0.79,0.863,K2V,20.920357844186892,0.0
8.34,6.18,0.83,0.386,F2IV,17.29494237544408,0.0
8.27,5.28,1.15,0.994,G8III,16.88316961266906,1.0
8.08,3.45,0.94,1.156,K2III,15.76909547536637,1.0
8.55,8.18,0.88,0.401,F2V,18.113766518356616,0.0
8.97,10.63,1.25,0.671,G3/G5V,19.102666322616486,0.0
7.42,1.6,0.79,1.524,K4III,13.440599913279623,1.0
8.41,3.53,1.12,0.022,A0V,16.148873526939113,0.0
8.4,15.59,1.43,0.566,G2V,19.364230575944212,0.0
5.71,5.97,0.7,0.911,G8III,14.589871655646846,1.0
7.64,9.35,0.92,0.5,F5IV/V,17.49405805436259,0.0
8.68,4.77,1.44,0.944,G8III,17.072591895200567,1.0
8.12,16.74,1.28,0.619,F8V,19.238777268286206,0.0
8.67,7.85,1.17,0.513,F5V,18.144348283726263,0.0
9.87,6.49,1.44,0.551,F6/F7V,18.931223484001848,0.0
9.48,5.52,1.74,0.53,F5V,18.189695388645994,0.0
9.88,7.35,1.74,0.509,F5IV/V,19.211436695420975,0.0
7.05,3.0,0.82,1.55,M1III,14.435606273598312,1.0
8.29,9.15,0.76,0.538,F6V,18.097105470332238,0.0
9.34,8.16,1.21,0.543,F7V,18.898450793769307,0.0
6.22,4.5,0.73,0.97,G7II-III,14.486062568876719,1.0
5.53,5.84,0.61,1.615,M2III,14.362064235561999,1.0
8.53,0.3,0.86,1.315,K3II/III,10.91560627359831,1.0
10.76,31.35,4.17,1.384,M1.5V:,23.241187725833676,0.0
7.95,9.93,1.95,0.654,G0IV,17.934746242476905,0.0
7.46,4.73,0.67,0.16,A2IV,15.834305703689058,0.0
8.6,8.29,0.97,0.435,F3V,18.192772652751366,0.0
8.55,0.36,0.87,1.093,G8III,11.331512503836437,1.0
8.29,2.83,1.09,1.183,K1IIICNIV,15.54893217762145,1.0
6.83,3.66,0.83,1.197,K2III,14.647405426972053,1.0
4.78,14.77,0.47,1.254,K2III,15.62690247655975,1.0
5.58,0.86,0.56,0.407,F0III,10.252492256217838,1.0
8.7,5.08,1.06,0.366,F2V,17.229318561419596,0.0
9.14,2.93,1.38,1.08,K0III,16.47433810177055,1.0
8.13,8.11,0.83,0.2,A4V,17.67510427105578,0.0
6.62,3.51,0.79,0.545,F5IV,14.346535582329121,0.0
6.6,5.84,0.78,1.153,K2III-IV,15.432064235561997,1.0
6.25,2.45,0.69,-0.042,B9IIIp Mn,13.195830421822663,1.0
7.83,6.34,1.89,1.074,K0/K1IV,16.840446289408664,0.0
9.04,8.98,0.93,0.546,F7V,18.80638168333652,0.0
5.13,7.98,0.71,-0.128,B7III-IV,14.640014456753647,1.0
8.96,4.39,1.29,0.306,A9V,17.17232260121061,0.0
7.04,7.5,0.84,1.06,K1III,16.4153063169585,1.0
7.78,7.56,1.37,0.411,F3IV...,17.172608977506034,0.0
4.37,7.86,0.94,1.631,M3III,13.84711273019704,1.0
8.6,3.09,0.84,0.1,B8V,16.049792397124172,0.0
7.09,7.03,0.89,0.999,K0III,16.32477662509912,1.0
8.68,2.07,0.8,-0.052,B9V,15.25985172728459,0.0
8.98,2.92,1.26,0.107,A3V,16.30691425724209,0.0
7.98,4.41,0.82,0.97,G9III,16.202192947339192,1.0
8.86,9.46,1.18,0.66,G3V,18.739455682008963,0.0
9.24,63.03,1.98,1.39,M0V,23.237736535628073,0.0
9.63,5.96,2.02,0.509,F5V,18.50623129870118,0.0
5.8,80.63,3.03,0.69,G3V,20.332483298996763,0.0
8.86,3.89,1.83,1.035,G9II-III,16.80974800662854,1.0
7.97,9.02,2.5,0.556,F7V,17.746032687709707,0.0
6.9,14.91,0.9,0.534,G0V,17.767388217264973,0.0
5.04,6.4,0.87,-0.15,B4V,14.070899869919437,0.0
6.33,7.55,0.82,0.182,A6V,15.719734758145941,0.0
9.46,4.77,1.47,0.944,G8/K0III,17.852591895200568,1.0
5.7,26.53,0.77,0.315,F0V,17.818686249911647,0.0
9.18,2.16,1.59,0.981,K0III,15.852268755754654,1.0
8.53,2.53,1.0,1.274,K3III,15.54560260587909,1.0
9.41,2.46,1.07,0.967,G6/G8III,16.364675535516895,1.0
5.87,1.57,1.67,1.073,G8III,11.849498262046168,1.0
8.42,4.14,1.05,1.005,G8III,16.505001705604496,1.0
8.85,2.62,1.16,1.113,K1III,15.941506456598727,1.0
9.04,7.23,1.56,0.489,F3/F5V,18.335691486472655,0.0
10.3,0.63,1.67,0.254,F0/F2V,14.29670274726791,0.0
9.58,4.59,1.21,0.5,F6/F7IV,17.889063427686306,0.0
8.43,5.18,1.11,0.007,A0V,17.001648798726166,0.0
9.0,6.32,1.32,0.903,G8IV,18.003585391411924,0.0
6.25,16.16,0.96,0.526,F6/F7V,17.292206782192835,0.0
7.76,7.41,0.93,0.967,G8IV,17.10909103989664,0.0
7.82,4.11,0.8,1.041,K0III,15.889209109380346,1.0
6.46,6.78,0.88,1.176,K1III,15.616148469335318,1.0
